NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM,VENTA_NETA,OFERTA_ID_NUM,PROMO_FLAG,PRECIO_UNITARIO_NETO
45,2026-01-01,1,4,0,2,1,3,2.061,36900,0.0,1,36900.0,0,0,17903.930131004367
61,2026-01-01,1,4,0,4,1,5,7.095,47900,0.0,1,47900.0,0,0,6751.23326286117
63,2026-01-01,1,4,0,6,1,7,0.984,30450,0.0,1,30450.0,0,0,30945.121951219513
83,2026-01-01,1,4,0,8,1,9,0.771,17750,0.0,1,17750.0,0,0,23022.049286640726
88,2026-01-01,1,4,0,10,1,11,0.402,12150,0.0,1,12150.0,0,0,30223.880597014922
124,2026-01-01,1,4,0,12,1,13,0.321,1200,0.0,1,1200.0,0,0,3738.3177570093458
145,2026-01-01,1,4,0,14,1,15,0.792,17980,0.0,1,17980.0,0,0,22702.0202020202
147,2026-01-01,1,4,0,16,1,17,0.633,11850,0.0,1,11850.0,0,0,18720.37914691943
155,2026-01-01,1,4,0,18,1,19,5.402,31400,0.0,1,31400.0,0,0,5812.661977045538
193,2026-01-01,1,4,0,20,1,21,0.58,31800,0.0,1,31800.0,0,0,54827.58620689656
224,2026-01-01,1,4,0,22,1,23,0.519,15650,0.0,1,15650.0,0,0,30154.142581888245
285,2026-01-01,1,4,0,24,1,25,0.244,6500,0.0,1,6500.0,0,0,26639.344262295082
316,2026-01-01,1,4,241825,26,1,27,0.406,26991,2999.0,1,23992.0,241825,1,59093.5960591133
319,2026-01-01,1,4,0,28,1,29,1.156,8600,0.0,1,8600.0,0,0,7439.446366782007
323,2026-01-01,1,4,0,30,1,31,0.506,21960,0.0,1,21960.0,0,0,43399.20948616601
324,2026-01-01,1,4,0,32,1,33,0.265,13700,0.0,1,13700.0,0,0,51698.11320754717
336,2026-01-01,1,4,0,34,1,35,0.512,28990,0.0,1,28990.0,0,0,56621.09375
338,2026-01-01,1,4,0,36,1,37,1.614,9750,0.0,1,9750.0,0,0,6040.892193308549
366,2026-01-01,1,4,0,38,1,39,0.212,8300,0.0,1,8300.0,0,0,39150.943396226416
379,2026-01-01,1,4,259690,40,1,41,0.486,54040,13510.0,1,40530.0,259690,1,83395.06172839507
393,2026-01-01,1,4,0,42,1,43,0.088,1800,0.0,1,1800.0,0,0,20454.545454545456
397,2026-01-01,1,4,0,44,1,45,0.361,18990,0.0,1,18990.0,0,0,52603.87811634349
401,2026-01-01,1,4,0,46,1,47,1.625,38990,0.0,1,38990.0,0,0,23993.846153846152
411,2026-01-01,1,4,0,48,1,49,0.54,9990,0.0,1,9990.0,0,0,18500.0
420,2026-01-01,1,4,0,50,1,51,1.677,29990,0.0,1,29990.0,0,0,17883.124627310674
428,2026-01-01,1,4,0,52,1,53,0.924,50150,0.0,1,50150.0,0,0,54274.891774891774
437,2026-01-01,1,4,0,8,1,54,0.493,24100,0.0,1,24100.0,0,0,48884.381338742394
443,2026-01-01,1,4,0,55,1,56,0.397,4350,0.0,1,4350.0,0,0,10957.178841309824
453,2026-01-01,1,4,0,57,1,58,0.181,14450,0.0,1,14450.0,0,0,79834.25414364641
462,2026-01-01,1,4,0,59,1,60,0.273,25990,0.0,1,25990.0,0,0,95201.4652014652
491,2026-01-01,1,4,0,61,1,62,0.421,25500,0.0,1,25500.0,0,0,60570.07125890737
538,2026-01-01,1,4,0,63,1,64,0.156,12890,0.0,1,12890.0,0,0,82628.20512820513
551,2026-01-01,1,4,0,65,1,66,0.517,5890,0.0,1,5890.0,0,0,11392.6499032882
629,2026-01-01,1,4,0,67,1,68,0.718,7450,0.0,1,7450.0,0,0,10376.044568245126
649,2026-01-01,1,4,0,69,1,70,1.21,22050,0.0,1,22050.0,0,0,18223.14049586777
674,2026-01-01,1,4,0,67,1,71,0.144,4000,0.0,1,4000.0,0,0,27777.77777777778
717,2026-01-01,1,4,251106,72,1,73,0.207,23850,2650.0,1,21200.0,251106,1,102415.45893719807
723,2026-01-01,1,4,0,74,1,33,0.265,13700,0.0,1,13700.0,0,0,51698.11320754717
737,2026-01-01,1,4,0,75,1,76,0.473,19200,0.0,1,19200.0,0,0,40591.96617336152
741,2026-01-01,1,4,0,77,1,78,0.485,5200,0.0,1,5200.0,0,0,10721.649484536083
758,2026-01-01,1,4,0,79,1,80,0.328,4380,0.0,1,4380.0,0,0,13353.658536585366
765,2026-01-01,1,4,0,6,1,81,0.977,10170,0.0,1,10170.0,0,0,10409.416581371546
807,2026-01-01,1,4,0,82,1,83,0.304,5600,0.0,1,5600.0,0,0,18421.052631578947
845,2026-01-01,1,4,0,84,1,85,0.454,4990,0.0,1,4990.0,0,0,10991.189427312775
865,2026-01-01,1,4,0,86,1,87,0.28,15670,0.0,1,15670.0,0,0,55964.28571428571
876,2026-01-01,1,4,0,88,1,89,0.283,9990,0.0,1,9990.0,0,0,35300.35335689046
878,2026-01-01,1,4,0,14,1,90,0.468,10990,0.0,1,10990.0,0,0,23482.90598290598
895,2026-01-01,1,4,0,91,1,92,0.248,11800,0.0,1,11800.0,0,0,47580.645161290326
903,2026-01-01,1,4,0,93,1,87,0.28,15670,0.0,1,15670.0,0,0,55964.28571428571
919,2026-01-01,1,4,0,94,1,95,2.839,21500,0.0,1,21500.0,0,0,7573.089115885876
931,2026-01-01,1,4,0,96,1,97,1.231,23200,0.0,1,23200.0,0,0,18846.46628757108
946,2026-01-01,1,4,0,32,1,98,0.79,4490,0.0,1,4490.0,0,0,5683.544303797468
948,2026-01-01,1,4,0,99,1,100,0.485,13220,0.0,1,13220.0,0,0,27257.731958762888
971,2026-01-01,1,4,0,101,1,102,0.149,6200,0.0,1,6200.0,0,0,41610.73825503356
992,2026-01-01,1,4,0,69,1,85,0.454,4990,0.0,1,4990.0,0,0,10991.189427312775
1021,2026-01-01,1,4,0,103,1,104,1.628,25990,0.0,1,25990.0,0,0,15964.373464373466
1024,2026-01-01,1,4,241825,105,1,98,0.79,4041,449.0,1,3592.0,241825,1,4546.835443037974
