NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM
45,46023,1,4,0,2,1,3,"2,061",36900,"0,00",1
61,46023,1,4,0,4,1,5,"7,095",47900,"0,00",1
63,46023,1,4,0,6,1,7,"0,984",30450,"0,00",1
83,46023,1,4,0,8,1,9,"0,771",17750,"0,00",1
88,46023,1,4,0,10,1,11,"0,402",12150,"0,00",1
124,46023,1,4,0,12,1,13,"0,321",1200,"0,00",1
145,46023,1,4,0,14,1,15,"0,792",17980,"0,00",1
147,46023,1,4,0,16,1,17,"0,633",11850,"0,00",1
155,46023,1,4,0,18,1,19,"5,402",31400,"0,00",1
193,46023,1,4,0,20,1,21,"0,58",31800,"0,00",1
224,46023,1,4,0,22,1,23,"0,519",15650,"0,00",1
285,46023,1,4,0,24,1,25,"0,244",6500,"0,00",1
316,46023,1,4,241825,26,1,27,"0,406",26991,"2999,00",1
319,46023,1,4,0,28,1,29,"1,156",8600,"0,00",1
323,46023,1,4,0,30,1,31,"0,506",21960,"0,00",1
324,46023,1,4,0,32,1,33,"0,265",13700,"0,00",1
336,46023,1,4,0,34,1,35,"0,512",28990,"0,00",1
338,46023,1,4,0,36,1,37,"1,614",9750,"0,00",1
366,46023,1,4,0,38,1,39,"0,212",8300,"0,00",1
379,46023,1,4,259690,40,1,41,"0,486",54040,"13510,00",1
393,46023,1,4,0,42,1,43,"0,088",1800,"0,00",1
397,46023,1,4,0,44,1,45,"0,361",18990,"0,00",1
401,46023,1,4,0,46,1,47,"1,625",38990,"0,00",1
411,46023,1,4,0,48,1,49,"0,54",9990,"0,00",1
420,46023,1,4,0,50,1,51,"1,677",29990,"0,00",1
428,46023,1,4,0,52,1,53,"0,924",50150,"0,00",1
437,46023,1,4,0,8,1,54,"0,493",24100,"0,00",1
443,46023,1,4,0,55,1,56,"0,397",4350,"0,00",1
453,46023,1,4,0,57,1,58,"0,181",14450,"0,00",1
462,46023,1,4,0,59,1,60,"0,273",25990,"0,00",1
491,46023,1,4,0,61,1,62,"0,421",25500,"0,00",1
538,46023,1,4,0,63,1,64,"0,156",12890,"0,00",1
551,46023,1,4,0,65,1,66,"0,517",5890,"0,00",1
629,46023,1,4,0,67,1,68,"0,718",7450,"0,00",1
649,46023,1,4,0,69,1,70,"1,21",22050,"0,00",1
674,46023,1,4,0,67,1,71,"0,144",4000,"0,00",1
717,46023,1,4,251106,72,1,73,"0,207",23850,"2650,00",1
723,46023,1,4,0,74,1,33,"0,265",13700,"0,00",1
737,46023,1,4,0,75,1,76,"0,473",19200,"0,00",1
741,46023,1,4,0,77,1,78,"0,485",5200,"0,00",1
758,46023,1,4,0,79,1,80,"0,328",4380,"0,00",1
765,46023,1,4,0,6,1,81,"0,977",10170,"0,00",1
807,46023,1,4,0,82,1,83,"0,304",5600,"0,00",1
